iter	Passed	Remaining
806	2205	527
807	2207	524
808	2208	521
809	2210	518
810	2211	515
811	2212	512
812	2214	509
813	2215	506
814	2217	503
815	2218	500
816	2222	497
817	2223	494
818	2225	491
819	2227	488
820	2228	485
821	2230	482
822	2231	479
823	2233	476
824	2236	474
825	2237	471
826	2239	468
827	2240	465
828	2242	462
829	2243	459
830	2245	456
831	2246	453
832	2248	450
833	2251	448
834	2253	445
835	2254	442
836	2256	439
837	2257	436
838	2259	433
839	2260	430
840	2262	427
841	2263	424
842	2267	422
843	2269	419
844	2270	416
845	2272	413
846	2273	410
847	2275	407
848	2276	404
849	2278	402
850	2281	399
851	2283	396
852	2284	393
853	2286	390
854	2288	388
855	2289	385
856	2291	382
857	2292	379
858	2296	376
859	2297	374
860	2299	371
861	2300	368
862	2302	365
863	2303	362
864	2305	359
865	2306	356
866	2308	354
867	2311	351
868	2313	348
869	2315	345
870	2316	343
871	2318	340
872	2320	337
873	2322	334
874	2324	332
875	2326	329
876	2328	326
877	2329	323
878	2331	320
879	2332	318
880	2334	315
881	2335	312
882	2337	309
883	2340	307
884	2341	304
885	2343	301
886	2344	298
887	2346	295
888	2347	293
889	2349	290
890	2350	287
891	2352	284
892	2355	282
893	2357	279
894	2359	276
895	2360	274
896	2362	271
897	2363	268
898	2365	265
899	2366	262
900	2369	260
901	2371	257
902	2372	254
903	2374	252
904	2375	249
905	2377	246
906	2379	243
907	2380	241
908	2382	238
909	2385	235
910	2387	233
911	2389	230
912	2390	227
913	2392	225
914	2395	222
915	2397	219
916	2400	217
917	2402	214
918	2404	211
919	2406	209
920	2408	206
921	2410	203
922	2411	201
923	2418	198
924	2420	196
925	2422	193
926	2423	190
927	2425	188
928	2427	185
929	2431	182
930	2433	180
931	2438	177
932	2440	175
933	2442	172
934	2445	170
935	2449	167
936	2450	164
937	2453	162
938	2465	160
939	2467	157
940	2470	154
941	2471	152
942	2473	149
943	2477	146
944	2481	144
945	2482	141
946	2484	139
947	2486	136
948	2488	133
949	2489	131
950	2492	128
951	2494	125
952	2496	123
953	2498	120
954	2500	117
955	2502	115
956	2507	112
957	2510	110
958	2512	107
959	2514	104
960	2516	102
961	2518	99
962	2521	96
963	2523	94
964	2524	91
965	2527	88
966	2529	86
967	2531	83
968	2534	81
969	2536	78
970	2538	75
971	2541	73
972	2543	70
973	2548	68
974	2550	65
975	2552	62
976	2554	60
977	2555	57
978	2558	54
979	2563	52
980	2566	49
981	2567	47
982	2569	44
983	2571	41
984	2573	39
985	2577	36
986	2580	33
987	2582	31
988	2583	28
989	2585	26
990	2587	23
991	2588	20
992	2592	18
993	2597	15
994	2599	13
995	2601	10
996	2603	7
997	2607	5
998	2609	2
999	2612	0
